arm,rate,rep,case,cancel_rate,n_survivors,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,e2e_p95_ms,useful_tokens_per_s,wall_s,kv_usage_mean,kv_usage_max,queue_max,running_mean,n_usage_samples
broken,4,1,main_r4_c00,0.0,100,52.8,61.4,65.1,10897.7,1459.1,35.2,0.318,0.65,0,30.9,238
broken,4,1,main_r4_c10,0.1,91,52.5,62.1,63.8,11053.6,1432.6,32.7,0.32,0.59,0,31.0,223
broken,4,1,main_r4_c20,0.2,80,51.6,59.6,60.8,10837.5,1114.7,36.9,0.311,0.64,0,29.7,233
broken,4,1,main_r4_c40,0.4,59,51.9,62.8,65.8,11014.6,993.7,30.5,0.368,0.64,0,34.3,161
broken,8,1,main_r8_c00,0.0,100,54.5,2188.6,2399.9,12345.2,2066.2,24.9,0.344,1.0,36,42.1,235
broken,8,1,main_r8_c10,0.1,91,57.6,4167.9,4308.8,14911.9,1802.9,25.9,0.363,1.0,39,41.0,232
broken,8,1,main_r8_c20,0.2,80,54.9,2465.4,2560.7,12679.9,1693.7,24.3,0.346,1.0,41,40.5,218
broken,8,1,main_r8_c40,0.4,59,52.4,4371.5,4394.4,14900.1,1234.9,24.6,0.422,1.0,41,43.0,146
broken,12,1,main_r12_c00,0.0,100,56.1,6015.3,6101.8,16663.0,2069.8,24.8,0.311,1.0,48,41.6,238
broken,12,1,main_r12_c10,0.1,91,57.7,6405.6,6554.1,17359.7,1939.7,24.1,0.321,1.0,48,41.5,250
broken,12,1,main_r12_c20,0.2,80,57.4,6023.2,6077.7,16994.8,1641.0,25.1,0.318,1.0,49,41.1,240
broken,12,1,main_r12_c40,0.4,59,57.5,6817.5,6972.1,17608.9,1255.9,24.1,0.372,1.0,49,41.3,153
broken,12,2,main_r12_c00,0.0,100,52.4,5542.0,5623.4,15976.6,2126.2,24.2,0.31,1.0,48,41.8,247
broken,12,2,main_r12_c10,0.1,91,54.0,6070.5,6214.6,16671.9,1988.6,23.5,0.328,1.0,48,41.5,248
broken,12,2,main_r12_c20,0.2,80,54.1,5305.0,5380.7,15666.7,1712.2,24.0,0.339,1.0,49,41.2,250
broken,12,2,main_r12_c40,0.4,59,55.5,6223.1,6388.1,17054.2,1288.1,23.5,0.38,1.0,49,41.6,157
broken,12,3,main_r12_c00,0.0,100,54.5,5548.0,5648.6,16198.9,2104.1,24.4,0.296,1.0,45,41.8,248
broken,12,3,main_r12_c10,0.1,91,56.3,6287.3,6418.4,17044.0,1959.8,23.9,0.323,1.0,49,41.4,247
broken,12,3,main_r12_c20,0.2,80,55.5,5514.5,5546.3,16110.1,1685.7,24.4,0.319,1.0,49,40.5,237
broken,12,3,main_r12_c40,0.4,59,57.7,6578.5,6683.0,17160.1,1282.3,23.6,0.373,1.0,49,41.0,152
broken,16,1,main_r16_c00,0.0,100,53.7,6942.6,6968.5,17391.3,2180.5,23.6,0.301,0.99,51,41.2,233
broken,16,1,main_r16_c10,0.1,91,55.6,7362.1,7499.0,17795.7,2048.6,22.8,0.299,1.0,51,40.6,240
broken,16,1,main_r16_c20,0.2,80,52.8,6774.0,6812.9,17066.5,1766.6,23.3,0.316,1.0,51,40.0,238
broken,16,1,main_r16_c40,0.4,59,56.0,7359.9,7436.1,17868.4,1336.2,22.7,0.362,1.0,51,40.4,150
fixed,4,1,main_r4_c00,0.0,100,52.6,62.4,66.1,10811.9,1454.7,35.3,0.304,0.65,0,29.3,236
fixed,4,1,main_r4_c10,0.1,91,49.0,61.2,64.2,10746.9,1427.4,32.8,0.286,0.54,0,27.7,231
fixed,4,1,main_r4_c20,0.2,80,51.3,62.7,64.6,10712.7,1121.2,36.7,0.231,0.54,0,22.0,229
