cell,arm,rate,rep,case,kv_released_total,kv_released_after_next_start,sched_iters_1s_into_next_case
broken_r12_rep2,broken,12,2,main_r12_c00,120,0,0
broken_r12_rep2,broken,12,2,main_r12_c10,122,0,0
broken_r12_rep2,broken,12,2,main_r12_c20,119,0,0
broken_r12_rep3,broken,12,3,main_r12_c00,119,0,0
broken_r12_rep3,broken,12,3,main_r12_c10,122,0,0
broken_r12_rep3,broken,12,3,main_r12_c20,119,0,0
broken_r16_rep1,broken,16,1,main_r16_c00,122,0,0
broken_r16_rep1,broken,16,1,main_r16_c10,122,0,0
broken_r16_rep1,broken,16,1,main_r16_c20,121,0,0
broken_r4_rep1,broken,4,1,main_r4_c00,100,0,0
broken_r4_rep1,broken,4,1,main_r4_c10,100,0,0
broken_r4_rep1,broken,4,1,main_r4_c20,100,0,0
broken_r8_rep1,broken,8,1,main_r8_c00,100,0,0
broken_r8_rep1,broken,8,1,main_r8_c10,115,0,0
broken_r8_rep1,broken,8,1,main_r8_c20,100,0,0
fixed_r12_rep2,fixed,12,2,main_r12_c00,120,0,0
fixed_r12_rep2,fixed,12,2,main_r12_c10,121,0,0
fixed_r12_rep2,fixed,12,2,main_r12_c20,114,0,0
fixed_r12_rep3,fixed,12,3,main_r12_c00,120,0,0
fixed_r12_rep3,fixed,12,3,main_r12_c10,121,0,0
fixed_r12_rep3,fixed,12,3,main_r12_c20,113,0,0
fixed_r16_rep1,fixed,16,1,main_r16_c00,122,0,0
fixed_r16_rep1,fixed,16,1,main_r16_c10,122,0,0
fixed_r16_rep1,fixed,16,1,main_r16_c20,121,0,0
fixed_r4_rep1,fixed,4,1,main_r4_c00,100,0,0
fixed_r4_rep1,fixed,4,1,main_r4_c10,100,0,0
fixed_r4_rep1,fixed,4,1,main_r4_c20,100,0,0
fixed_r8_rep1,fixed,8,1,main_r8_c00,100,0,0
fixed_r8_rep1,fixed,8,1,main_r8_c10,104,0,0
fixed_r8_rep1,fixed,8,1,main_r8_c20,100,0,0
