boundary,arm,rate,kv_spill_0_100ms,kv_spill_100ms_1s,kv_spill_gt1s,sched_spill_0_100ms,sched_spill_100ms_1s,sched_spill_gt1s
broken_r12_rep2:main_r12_c00->next_case,broken,12,0,0,0,0,0,0
broken_r12_rep2:main_r12_c10->next_case,broken,12,0,0,0,0,0,0
broken_r12_rep2:main_r12_c20->next_case,broken,12,0,0,0,0,0,0
broken_r12_rep3:main_r12_c00->next_case,broken,12,0,0,0,0,0,0
broken_r12_rep3:main_r12_c10->next_case,broken,12,0,0,0,0,0,0
broken_r12_rep3:main_r12_c20->next_case,broken,12,0,0,0,0,0,0
broken_r16_rep1:main_r16_c00->next_case,broken,16,0,0,0,0,0,0
broken_r16_rep1:main_r16_c10->next_case,broken,16,0,0,0,0,0,0
broken_r16_rep1:main_r16_c20->next_case,broken,16,0,0,0,0,0,0
broken_r4_rep1:main_r4_c00->next_case,broken,4,0,0,0,0,0,0
broken_r4_rep1:main_r4_c10->next_case,broken,4,0,0,0,0,0,0
broken_r4_rep1:main_r4_c20->next_case,broken,4,0,0,0,0,0,0
broken_r8_rep1:main_r8_c00->next_case,broken,8,0,0,0,0,0,0
broken_r8_rep1:main_r8_c10->next_case,broken,8,0,0,0,0,0,0
broken_r8_rep1:main_r8_c20->next_case,broken,8,0,0,0,0,0,0
fixed_r12_rep2:main_r12_c00->next_case,fixed,12,0,0,0,0,0,0
fixed_r12_rep2:main_r12_c10->next_case,fixed,12,0,0,0,0,0,0
fixed_r12_rep2:main_r12_c20->next_case,fixed,12,0,0,0,0,0,0
fixed_r12_rep3:main_r12_c00->next_case,fixed,12,0,0,0,0,0,0
fixed_r12_rep3:main_r12_c10->next_case,fixed,12,0,0,0,0,0,0
fixed_r12_rep3:main_r12_c20->next_case,fixed,12,0,0,0,0,0,0
fixed_r16_rep1:main_r16_c00->next_case,fixed,16,0,0,0,0,0,0
fixed_r16_rep1:main_r16_c10->next_case,fixed,16,0,0,0,0,0,0
fixed_r16_rep1:main_r16_c20->next_case,fixed,16,0,0,0,0,0,0
fixed_r4_rep1:main_r4_c00->next_case,fixed,4,0,0,0,0,0,0
fixed_r4_rep1:main_r4_c10->next_case,fixed,4,0,0,0,0,0,0
fixed_r4_rep1:main_r4_c20->next_case,fixed,4,0,0,0,0,0,0
fixed_r8_rep1:main_r8_c00->next_case,fixed,8,0,0,0,0,0,0
fixed_r8_rep1:main_r8_c10->next_case,fixed,8,0,0,0,0,0,0
fixed_r8_rep1:main_r8_c20->next_case,fixed,8,0,0,0,0,0,0
broken_r4_rep1:c40->cell:broken_r8_rep1,cross-cell,,,,,gap_s=84.3,,
broken_r8_rep1:c40->cell:broken_r12_rep2,cross-cell,,,,,gap_s=79.0,,
broken_r12_rep2:c40->cell:broken_r12_rep3,cross-cell,,,,,gap_s=78.8,,
broken_r12_rep3:c40->cell:broken_r16_rep1,cross-cell,,,,,gap_s=78.6,,
broken_r16_rep1:c40->cell:fixed_r4_rep1,cross-cell,,,,,gap_s=79.3,,
fixed_r4_rep1:c40->cell:fixed_r8_rep1,cross-cell,,,,,gap_s=80.6,,
fixed_r8_rep1:c40->cell:fixed_r12_rep2,cross-cell,,,,,gap_s=80.3,,
fixed_r12_rep2:c40->cell:fixed_r12_rep3,cross-cell,,,,,gap_s=81.3,,
fixed_r12_rep3:c40->cell:fixed_r16_rep1,cross-cell,,,,,gap_s=80.9,,
