cell,arm,rate,rep,case,cancel_rate,n_cancelled,residency_mean_s,residency_p50_s,residency_max_s,orphan_slot_seconds,orphan_token_seconds_est,kv_pool_time_share_est,case_wall_s
broken_r12_rep2,broken,12,2,main_r12_c10,0.1,9,10.936,10.995,11.081,98.4,28050.0,0.0525,23.52144654467702
broken_r12_rep2,broken,12,2,main_r12_c20,0.2,20,9.035,10.657,10.954,180.7,51499.0,0.0944,24.015397362411022
broken_r12_rep2,broken,12,2,main_r12_c40,0.4,41,9.577,10.804,10.962,392.6,111904.0,0.2092,23.543734043836594
broken_r12_rep3,broken,12,3,main_r12_c10,0.1,9,11.121,11.204,11.244,100.1,28526.0,0.0526,23.866961557418108
broken_r12_rep3,broken,12,3,main_r12_c20,0.2,20,8.937,10.828,11.096,178.7,50943.0,0.0919,24.39280242845416
broken_r12_rep3,broken,12,3,main_r12_c40,0.4,41,9.644,10.701,11.112,395.4,112690.0,0.2097,23.649176191538572
broken_r16_rep1,broken,16,1,main_r16_c10,0.1,9,10.509,10.861,10.945,94.6,26955.0,0.052,22.832599323242903
broken_r16_rep1,broken,16,1,main_r16_c20,0.2,20,9.315,10.794,10.909,186.3,53096.0,0.1004,23.27684372663498
broken_r16_rep1,broken,16,1,main_r16_c40,0.4,41,9.451,10.461,10.764,387.5,110436.0,0.2142,22.695795256644487
broken_r4_rep1,broken,4,1,main_r4_c10,0.1,9,10.617,10.757,10.805,95.6,27234.0,0.0367,32.65049370378256
broken_r4_rep1,broken,4,1,main_r4_c20,0.2,20,10.399,10.505,10.613,208.0,59274.0,0.0707,36.88726933673024
broken_r4_rep1,broken,4,1,main_r4_c40,0.4,41,10.386,10.369,10.835,425.8,121361.0,0.175,30.51723338291049
broken_r8_rep1,broken,8,1,main_r8_c10,0.1,9,11.04,11.112,11.185,99.4,28317.0,0.048,25.943400342017412
broken_r8_rep1,broken,8,1,main_r8_c20,0.2,20,10.53,10.586,10.908,210.6,60018.0,0.1088,24.27851551771164
broken_r8_rep1,broken,8,1,main_r8_c40,0.4,41,9.391,11.029,11.209,385.0,109733.0,0.1967,24.558189265429974
fixed_r12_rep2,fixed,12,2,main_r12_c10,0.1,9,0.032,0.031,0.033,0.3,81.0,0.0002,23.027258422225714
fixed_r12_rep2,fixed,12,2,main_r12_c20,0.2,20,0.035,0.03,0.052,0.7,199.0,0.0004,23.31359524279833
fixed_r12_rep2,fixed,12,2,main_r12_c40,0.4,41,0.038,0.033,0.088,1.6,442.0,0.0011,16.970377258956432
fixed_r12_rep3,fixed,12,3,main_r12_c10,0.1,9,0.033,0.033,0.038,0.3,86.0,0.0002,23.187755271792412
fixed_r12_rep3,fixed,12,3,main_r12_c20,0.2,20,0.035,0.032,0.052,0.7,197.0,0.0004,23.185604210942984
fixed_r12_rep3,fixed,12,3,main_r12_c40,0.4,41,0.036,0.032,0.101,1.5,422.0,0.0011,16.98829175531864
fixed_r16_rep1,fixed,16,1,main_r16_c10,0.1,9,0.038,0.032,0.05,0.3,97.0,0.0002,22.33151599764824
fixed_r16_rep1,fixed,16,1,main_r16_c20,0.2,20,0.04,0.033,0.067,0.8,226.0,0.0004,22.38425698876381
fixed_r16_rep1,fixed,16,1,main_r16_c40,0.4,41,0.04,0.033,0.081,1.6,467.0,0.0012,16.704451471567154
fixed_r4_rep1,fixed,4,1,main_r4_c10,0.1,9,0.033,0.033,0.037,0.3,85.0,0.0001,32.76962444931269
fixed_r4_rep1,fixed,4,1,main_r4_c20,0.2,20,0.035,0.033,0.049,0.7,199.0,0.0002,36.675673361867666
fixed_r4_rep1,fixed,4,1,main_r4_c40,0.4,41,0.036,0.033,0.084,1.5,422.0,0.0006,30.14058145135641
fixed_r8_rep1,fixed,8,1,main_r8_c10,0.1,9,0.036,0.033,0.057,0.3,92.0,0.0002,25.434244472533464
fixed_r8_rep1,fixed,8,1,main_r8_c20,0.2,20,0.033,0.033,0.051,0.7,190.0,0.0004,23.384304881095886
fixed_r8_rep1,fixed,8,1,main_r8_c40,0.4,41,0.034,0.032,0.065,1.4,403.0,0.0009,20.223539665341377
