arm,rate,rep,cancel_rate,n,ttfse_mean,ttfse_p50,ttfse_p95,ttfse_p99,e2e_mean,e2e_p50,e2e_p95,e2e_p99,ttfse_viol_500ms,ttfse_viol_1000ms,ttfse_viol_2000ms,e2e_viol_15000ms,e2e_viol_20000ms
broken,4,1,0.0,100,52.7,52.8,61.4,65.1,10516.7,10615.4,10897.7,10913.2,0.0,0.0,0.0,0.0,0.0
broken,4,1,0.1,91,52.9,52.5,62.1,63.8,10589.3,10695.6,11053.6,11086.8,0.0,0.0,0.0,0.0,0.0
broken,4,1,0.2,80,51.6,51.6,59.6,60.8,10557.3,10639.9,10837.5,10855.5,0.0,0.0,0.0,0.0,0.0
broken,4,1,0.4,59,51.4,51.9,62.8,65.8,10647.2,10686.5,11014.6,11027.0,0.0,0.0,0.0,0.0,0.0
broken,8,1,0.0,100,437.0,54.5,2188.6,2399.9,11244.8,11126.3,12345.2,12566.2,0.25,0.17,0.13,0.0,0.0
broken,8,1,0.1,91,1016.8,57.6,4167.9,4308.8,12599.2,11380.3,14911.9,15128.3,0.253,0.253,0.253,0.033,0.0
broken,8,1,0.2,80,514.3,54.9,2465.4,2560.7,11184.6,11066.4,12679.9,12779.0,0.275,0.188,0.125,0.0,0.0
broken,8,1,0.4,59,1038.0,52.4,4371.5,4394.4,12658.3,11386.2,14900.1,14970.6,0.237,0.237,0.237,0.017,0.0
broken,12,1,0.0,100,1464.2,56.1,6015.3,6101.8,13555.6,11870.0,16663.0,16740.6,0.24,0.24,0.24,0.24,0.0
broken,12,2,0.0,100,1346.4,52.4,5542.0,5623.4,13003.7,11302.9,15976.6,16044.4,0.24,0.24,0.24,0.24,0.0
broken,12,3,0.0,100,1461.1,54.5,5548.0,5648.6,13106.9,11294.0,16198.9,16297.8,0.26,0.26,0.26,0.26,0.0
broken,12,1,0.1,91,1794.8,57.7,6405.6,6554.1,13850.5,14493.3,17359.7,17472.8,0.286,0.286,0.286,0.286,0.0
broken,12,2,0.1,91,1702.3,54.0,6070.5,6214.6,13439.1,14199.4,16671.9,16798.2,0.286,0.286,0.286,0.286,0.0
broken,12,3,0.1,91,1765.4,56.3,6287.3,6418.4,13710.3,14492.5,17044.0,17166.3,0.286,0.286,0.286,0.286,0.0
broken,12,1,0.2,80,1455.7,57.4,6023.2,6077.7,13592.2,11784.4,16994.8,17118.5,0.25,0.25,0.25,0.425,0.0
broken,12,2,0.2,80,1279.8,54.1,5305.0,5380.7,12659.1,11072.4,15666.7,15760.7,0.25,0.25,0.25,0.163,0.0
broken,12,3,0.2,80,1389.3,55.5,5514.5,5546.3,12898.6,11228.1,16110.1,16177.7,0.263,0.263,0.263,0.263,0.0
broken,12,1,0.4,59,1747.1,57.5,6817.5,6972.1,13859.8,11747.3,17608.9,17664.1,0.254,0.254,0.254,0.254,0.0
broken,12,2,0.4,59,1489.9,55.5,6223.1,6388.1,13237.3,11140.6,17054.2,17118.4,0.237,0.237,0.237,0.237,0.0
broken,12,3,0.4,59,1778.5,57.7,6578.5,6683.0,13470.5,11323.0,17160.1,17223.8,0.271,0.271,0.271,0.271,0.0
broken,16,1,0.0,100,1878.3,53.7,6942.6,6968.5,13573.9,11300.7,17391.3,17440.7,0.27,0.27,0.27,0.27,0.0
broken,16,1,0.1,91,2318.2,55.6,7362.1,7499.0,13820.6,13722.9,17795.7,17908.7,0.319,0.319,0.319,0.33,0.0
broken,16,1,0.2,80,1839.5,52.8,6774.0,6812.9,13260.9,11111.1,17066.5,17096.3,0.275,0.275,0.275,0.275,0.0
broken,16,1,0.4,59,2251.1,56.0,7359.9,7436.1,13669.2,13189.9,17868.4,17915.4,0.305,0.305,0.305,0.356,0.0
fixed,4,1,0.0,100,52.4,52.6,62.4,66.1,10513.6,10640.2,10811.9,10832.7,0.0,0.0,0.0,0.0,0.0
fixed,4,1,0.1,91,50.6,49.0,61.2,64.2,10452.2,10553.4,10746.9,10762.8,0.0,0.0,0.0,0.0,0.0
fixed,4,1,0.2,80,51.5,51.3,62.7,64.6,10444.1,10578.8,10712.7,10739.3,0.0,0.0,0.0,0.0,0.0
fixed,4,1,0.4,59,52.1,53.4,59.6,61.1,10323.1,10396.4,10715.6,10727.9,0.0,0.0,0.0,0.0,0.0
fixed,8,1,0.0,100,585.1,57.0,2672.2,2915.8,11440.0,11341.9,12833.3,13016.5,0.25,0.25,0.17,0.0,0.0
fixed,8,1,0.1,91,771.6,53.7,4000.9,4308.3,11841.9,11278.6,14359.6,14549.1,0.187,0.187,0.187,0.0,0.0
fixed,8,1,0.2,80,51.2,50.4,60.1,63.8,10939.1,11104.7,11516.9,11533.5,0.0,0.0,0.0,0.0,0.0
fixed,8,1,0.4,59,51.9,52.5,61.9,62.9,10832.4,10955.2,11432.7,11475.4,0.0,0.0,0.0,0.0,0.0
fixed,12,1,0.0,100,1351.8,53.6,5548.5,5656.0,12970.0,11315.1,15867.3,15955.2,0.24,0.24,0.24,0.24,0.0
fixed,12,2,0.0,100,1369.6,54.8,5615.9,5709.6,13072.3,11383.8,16034.6,16108.1,0.24,0.24,0.24,0.24,0.0
fixed,12,3,0.0,100,1349.2,53.5,5548.3,5629.0,13035.6,11307.9,16041.5,16114.0,0.24,0.24,0.24,0.24,0.0
fixed,12,1,0.1,91,1067.3,54.6,5672.1,5789.9,12530.9,11210.4,15920.4,15993.1,0.187,0.187,0.187,0.187,0.0
fixed,12,2,0.1,91,1065.3,53.7,5651.4,5757.7,12632.0,11199.0,16113.6,16191.2,0.187,0.187,0.187,0.187,0.0
fixed,12,3,0.1,91,1116.7,54.1,5922.0,6086.7,12876.2,11481.8,16299.0,16388.5,0.187,0.187,0.187,0.187,0.0
fixed,12,1,0.2,80,317.3,52.1,4254.5,4314.4,11700.3,11395.5,14103.6,14134.1,0.062,0.062,0.062,0.0,0.0
fixed,12,2,0.2,80,319.2,52.1,4285.8,4356.0,11756.5,11434.8,14230.4,14265.3,0.062,0.062,0.062,0.0,0.0
fixed,12,3,0.2,80,312.4,53.0,4106.7,4293.5,11568.6,11240.1,14030.6,14180.6,0.062,0.062,0.062,0.0,0.0
fixed,12,1,0.4,59,51.2,51.8,59.8,62.9,10916.2,11021.7,11516.8,11573.3,0.0,0.0,0.0,0.0,0.0
fixed,12,2,0.4,59,53.7,53.1,61.1,63.0,10917.9,11002.9,11481.1,11531.0,0.0,0.0,0.0,0.0,0.0
fixed,12,3,0.4,59,51.6,51.5,60.5,68.0,10950.2,11060.8,11402.7,11435.9,0.0,0.0,0.0,0.0,0.0
